titolo_opera_iteatrire,opera_id,wikidata_uri_iteatrire,persona_nome,persona_id
I Capuleti e i Montecchi,69313,https://www.wikidata.org/wiki/Q1071307,"Bellini, Vincenzo",9582
I Capuleti e i Montecchi,69313,https://www.wikidata.org/wiki/Q1071307,"Romani, Felice",9648
Norma,69314,https://www.wikidata.org/wiki/Q320353,"Bellini, Vincenzo",9582
Norma,69314,https://www.wikidata.org/wiki/Q320353,"Romani, Felice",9648
I puritani,69315,https://www.wikidata.org/wiki/Q470886,"Bellini, Vincenzo",9582
I puritani,69315,https://www.wikidata.org/wiki/Q470886,"Pepoli, Carlo",9649
La sonnambula,69316,https://www.wikidata.org/wiki/Q753123,"Bellini, Vincenzo",9582
La sonnambula,69316,https://www.wikidata.org/wiki/Q753123,"Romani, Felice",9648
Wozzeck,69317,https://www.wikidata.org/wiki/Q45784,"Berg, Alban",34031
Wozzeck,69317,https://www.wikidata.org/wiki/Q45784,"Büchner, Georg",11266
Carmen,69318,https://www.wikidata.org/wiki/Q185968,"Bizet, Georges",9584
Carmen,69318,https://www.wikidata.org/wiki/Q185968,"Meilhac, Henri",9696
Carmen,69318,https://www.wikidata.org/wiki/Q185968,"Halévy, Ludovic",9865
Carmen,69318,https://www.wikidata.org/wiki/Q185968,"Mérimée, Prosper",13350
The Pearl Fishers,69319,https://www.wikidata.org/wiki/Q56159,"Bizet, Georges",9584
The Pearl Fishers,69319,https://www.wikidata.org/wiki/Q56159,"Cormon, Eugène",9700
The Pearl Fishers,69319,https://www.wikidata.org/wiki/Q56159,"Carré, Michel",9701
Albert Herring,69320,https://www.wikidata.org/wiki/Q577825,"Britten, Benjamin",31624
Albert Herring,69320,https://www.wikidata.org/wiki/Q577825,"Crozier, Eric",9704
Eugene Onegin,69321,https://www.wikidata.org/wiki/Q50956,"Čajkovskij, Pëtr Il'ič",9588
Eugene Onegin,69321,https://www.wikidata.org/wiki/Q50956,"Puškin, Aleksandr Sergeevic",10602
The Queen of Spades,69322,https://www.wikidata.org/wiki/Q221047,"Čajkovskij, Pëtr Il'ič",9588
The Queen of Spades,69322,https://www.wikidata.org/wiki/Q221047,"Čajkovskij, Modest Ilʹič",34024
The Queen of Spades,69322,https://www.wikidata.org/wiki/Q221047,"Puškin, Aleksandr Sergeevic",10602
La Wally,69323,https://www.wikidata.org/wiki/Q654861,"Catalani, Alfredo",9589
La Wally,69323,https://www.wikidata.org/wiki/Q654861,"Illica, Luigi",9710
Adriana Lecouvreur,69324,https://www.wikidata.org/wiki/Q375063,"Cilea, Francesco",9592
Adriana Lecouvreur,69324,https://www.wikidata.org/wiki/Q375063,"Colautti, Arturo",9725
Adriana Lecouvreur,69324,https://www.wikidata.org/wiki/Q375063,"Scribe, Eugène",9644
L'Arlesiana,69325,https://www.wikidata.org/wiki/Q2288398,"Cilea, Francesco",9592
L'Arlesiana,69325,https://www.wikidata.org/wiki/Q2288398,"Marenco, Leopoldo",9727
L'Arlesiana,69325,https://www.wikidata.org/wiki/Q2288398,"Daudet, Alphonse",9695
Il maestro di cappella,69326,https://www.wikidata.org/wiki/Q11926491,"Cimarosa, Domenico",9593
Don Pasquale,69327,https://www.wikidata.org/wiki/Q723941,"Donizetti, Gaetano",9596
Don Pasquale,69327,https://www.wikidata.org/wiki/Q723941,"Ruffini, Giovanni",9748
Don Pasquale,69327,https://www.wikidata.org/wiki/Q723941,"Anelli, Angelo",9942
L'elisir d'amore,69328,https://www.wikidata.org/wiki/Q332536,"Donizetti, Gaetano",9596
La favorite,69329,https://www.wikidata.org/wiki/Q467394,"Donizetti, Gaetano",9596
La Fille du régiment,69330,https://www.wikidata.org/wiki/Q729568,"Donizetti, Gaetano",9596
La Fille du régiment,69330,https://www.wikidata.org/wiki/Q729568,"Vernoy de Saint-Georges, Jules-Henry",9755
La Fille du régiment,69330,https://www.wikidata.org/wiki/Q729568,"Bayard, Jean-François-Alfred",9756
Lucia di Lammermoor,69331,https://www.wikidata.org/wiki/Q244209,"Donizetti, Gaetano",9596
Lucia di Lammermoor,69331,https://www.wikidata.org/wiki/Q244209,"Cammarano, Salvatore",9742
Lucia di Lammermoor,69331,https://www.wikidata.org/wiki/Q244209,"Scott, Walter",12698
Maria Stuarda,69332,https://www.wikidata.org/wiki/Q377685,"Donizetti, Gaetano",9596
Maria Stuarda,69332,https://www.wikidata.org/wiki/Q377685,"Bardari, Giuseppe",33951
Maria Stuarda,69332,https://www.wikidata.org/wiki/Q377685,"Schiller, Friedrich",10630
Martha,69334,https://www.wikidata.org/wiki/Q168488,"Flotow, Friedrich von",9597
Martha,69334,https://www.wikidata.org/wiki/Q168488,"Friedrich, Wilhelm",9774
Porgy and Bess,69335,https://www.wikidata.org/wiki/Q740920,"Gershwin, George",9598
Porgy and Bess,69335,https://www.wikidata.org/wiki/Q740920,"Heyward, Du Bose",9778
Porgy and Bess,69335,https://www.wikidata.org/wiki/Q740920,"Gershwin, Ira",9779
Andrea Chénier,69336,https://www.wikidata.org/wiki/Q493656,"Giordano, Umberto",9599
Andrea Chénier,69336,https://www.wikidata.org/wiki/Q493656,"Illica, Luigi",9710
Ruslan and Lyudmila,69337,https://www.wikidata.org/wiki/Q522408,"Glinka, Mikhail",9600
Ruslan and Lyudmila,69337,https://www.wikidata.org/wiki/Q522408,"Sirkov, Valerian Fëdorovic",16305
Ruslan and Lyudmila,69337,https://www.wikidata.org/wiki/Q522408,"Puškin, Aleksandr Sergeevic",10602
Orfeo ed Euridice,69338,https://www.wikidata.org/wiki/Q723776,"Gluck, Christoph Willibald",9601
Orfeo ed Euridice,69338,https://www.wikidata.org/wiki/Q723776,"Calzabigi, Ranieri de'",9788
Romeo and Juliet,69339,https://www.wikidata.org/wiki/Q911487,"Gounod, Charles",9602
Romeo and Juliet,69339,https://www.wikidata.org/wiki/Q911487,"Carré, Michel",9701
Romeo and Juliet,69339,https://www.wikidata.org/wiki/Q911487,"Barbier, Jules",9796
Romeo and Juliet,69339,https://www.wikidata.org/wiki/Q911487,"Shakespeare, William",10325
Acis and Galatea,69340,https://www.wikidata.org/wiki/Q341482,"Händel, Georg Friedrich",9603
Acis and Galatea,69340,https://www.wikidata.org/wiki/Q341482,"Gay, John",9798
Alcina,69341,https://www.wikidata.org/wiki/Q275627,"Händel, Georg Friedrich",9603
Alcina,69341,https://www.wikidata.org/wiki/Q275627,"Fanzaglia, Antonio",16307
Alcina,69341,https://www.wikidata.org/wiki/Q275627,"Ariosto, Ludovico",16308
Giulio Cesare in Egitto,69342,https://www.wikidata.org/wiki/Q875563,"Händel, Georg Friedrich",9603
Giulio Cesare in Egitto,69342,https://www.wikidata.org/wiki/Q875563,"Haym, Nicola Francesco",9800
Giulio Cesare in Egitto,69342,https://www.wikidata.org/wiki/Q875563,"Bussani, Giacomo Francesco",9799
L'amico Fritz,69345,https://www.wikidata.org/wiki/Q578706,"Mascagni, Pietro",9611
L'amico Fritz,69345,https://www.wikidata.org/wiki/Q578706,"Daspuro, Nicola",9817
Le maschere,69346,https://www.wikidata.org/wiki/Q238785,"Mascagni, Pietro",9611
Le maschere,69346,https://www.wikidata.org/wiki/Q238785,"Illica, Luigi",9710
Manon,69347,https://www.wikidata.org/wiki/Q842063,"Massenet, Jules",9612
Manon,69347,https://www.wikidata.org/wiki/Q842063,"Meilhac, Henri",9696
Manon,69347,https://www.wikidata.org/wiki/Q842063,"Gille, Philippe",9735
Manon,69347,https://www.wikidata.org/wiki/Q842063,"Prévost, Antoine-François",14425
Werther,69348,https://www.wikidata.org/wiki/Q926468,"Massenet, Jules",9612
Werther,69348,https://www.wikidata.org/wiki/Q926468,"Milliet, Paul",9829
Werther,69348,https://www.wikidata.org/wiki/Q926468,"Blau, Édouard",9831
Werther,69348,https://www.wikidata.org/wiki/Q926468,"Hartmann, Georges",9832
L'incoronazione di Poppea,69349,https://www.wikidata.org/wiki/Q615522,"Monteverdi, Claudio",9617
L'incoronazione di Poppea,69349,https://www.wikidata.org/wiki/Q615522,"Busenello, Giovanni Francesco",9845
Così fan tutte,69351,https://www.wikidata.org/wiki/Q207410,"Mozart, Wolfgang Amadeus",9618
Così fan tutte,69351,https://www.wikidata.org/wiki/Q207410,"Da Ponte, Lorenzo",9849
Don Giovanni,69352,https://www.wikidata.org/wiki/Q192039,"Mozart, Wolfgang Amadeus",9618
Don Giovanni,69352,https://www.wikidata.org/wiki/Q192039,"Da Ponte, Lorenzo",9849
Die Entführung aus dem Serail,69353,https://www.wikidata.org/wiki/Q210711,"Mozart, Wolfgang Amadeus",9618
Die Entführung aus dem Serail,69353,https://www.wikidata.org/wiki/Q210711,"Stephanie, Johann Gottlob",9851
Idomeneo,69354,https://www.wikidata.org/wiki/Q723559,"Mozart, Wolfgang Amadeus",9618
Idomeneo,69354,https://www.wikidata.org/wiki/Q723559,"Varesco, Giambattista",9853
The Marriage of Figaro,69355,https://www.wikidata.org/wiki/Q201873,"Mozart, Wolfgang Amadeus",9618
The Marriage of Figaro,69355,https://www.wikidata.org/wiki/Q201873,"Da Ponte, Lorenzo",9849
The Magic Flute,69357,https://www.wikidata.org/wiki/Q5064,"Mozart, Wolfgang Amadeus",9618
The Magic Flute,69357,https://www.wikidata.org/wiki/Q5064,"Schikaneder, Emanuel Johann Joseph",9856
Boris Godunov,69358,https://www.wikidata.org/wiki/Q386846,"Musorgskij, Modest",9619
Boris Godunov,69358,https://www.wikidata.org/wiki/Q386846,"Puškin, Aleksandr Sergeevic",10602
The Merry Wives of Windsor,69360,https://www.wikidata.org/wiki/Q615663,"Nicolai, Otto",9620
The Merry Wives of Windsor,69360,https://www.wikidata.org/wiki/Q615663,"Mosenthal, Salomon Hermann von",9793
Saffo,69363,https://www.wikidata.org/wiki/Q2211491,"Pacini, Giovanni",9622
